LOINC_NUM;COMPONENT;PROPERTY;TIME_ASPCT;SYSTEM;SCALE_TYP;METHOD_TYP;CLASS;VersionLastChanged;STATUS;CLASSTYPE;ORDER_OBS;EXTERNAL_COPYRIGHT_NOTICE;EXAMPLE_UNITS;LONG_COMMON_NAME;EXAMPLE_UCUM_UNITS;VersionFirstReleased;LHCForms;FormalName
x0001-0;Mean score - Neurotizismus;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Neurotizismus];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-1;Total score - Neurotizismus;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Neurotizismus];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-2;Mean score - Extraversion;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Extraversion];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-3;Total score - Extraversion;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Extraversion];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-4;Mean score - Gewissenhaftigkeit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Gewissenhaftigkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-5;Total score - Gewissenhaftigkeit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Gewissenhaftigkeit];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-6;Mean score - Offenheit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Offenheit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-7;Total score - Offenheit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Offenheit];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-8;Mean score - Verträglichkeit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Verträglichkeit];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:NEO-FFI
x0001-9;Total score - Verträglichkeit;Score;Pt;^Patient;Qn;NEO-FFI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Verträglichkeit];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:TCI
x0002-0;Mean score - Exploratory excitability;Score;Pt;^Patient;Qn;TCI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score  [Exploratory excitability];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI
x0002-1;Mean score - Impulsiveness;Score;Pt;^Patient;Qn;TCI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Impulsiveness];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI
x0002-2;Mean score - Extravagance;Score;Pt;^Patient;Qn;TCI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Extravagance];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI
x0002-3;Mean score - Disorderliness;Score;Pt;^Patient;Qn;TCI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Disorderliness];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI
x0002-4;Mean score - Novelty Seeking;Score;Pt;^Patient;Qn;TCI;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Novelty Seeking];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI
x0003-0;Mean score - Harm Avoidance;Score;Pt;^Patient;Qn;TCI-3;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Harm Avoidance];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI-3
x0003-1;Mean score - Reward Dependence;Score;Pt;^Patient;Qn;TCI-3;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Reward Dependence];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI-3
x0003-2;Mean score - Persistence;Score;Pt;^Patient;Qn;TCI-3;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Persistence];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:TCI-3
x0004-0;Mean score - Anxiety Sensitivity;Score;Pt;^Patient;Qn;SURPS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Anxiety Sensitivity];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:SURPS
x0004-1;Mean score - Negative Thinking;Score;Pt;^Patient;Qn;SURPS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Negative Thinking];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:SURPS
x0004-2;Mean score - Impulsivity;Score;Pt;^Patient;Qn;SURPS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Impulsivity];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:SURPS
x0004-3;Mean score - Sensation Seeking;Score;Pt;^Patient;Qn;SURPS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Mean score [Sensation Seeking];{score};0;FALSCH;Mean score:Score:Pt:^Patient:Qn:SURPS
x0005-0;Total score - Alkoholkonsum;Score;Pt;^Patient;Qn;AUDIT;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Alkoholkonsum];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:AUDIT
x0006-0;Total score - Alltagsbelastungsbogen;Score;Pt;^Patient;Qn;ABF;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Alltagsbelastungsbogen];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:ABF
x0007-0;Total score - Depression;Score;Pt;^Patient;Qn;ADRS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Depression];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:ADRS
x0008-0;Total score - Alkoholerwartungen;Score;Pt;^Patient;Qn;AEQ;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Alkoholerwartungen];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:AEQ
x0009-0;Total score - Depression;Score;Pt;^Patient;Qn;BDI-II;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Depression];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:BDI-II
x0010-3;Total score - Motorik;Score;Pt;^Patient;Qn;BIS;SURVEY.MTLHLTH;0;ACTIVE;4;Observation;-;score;Total score [Motorik];{score};0;FALSCH;Total score:Score:Pt:^Patient:Qn:BIS
